,ActivePower
1592,15.84786034
1593,2.556333065
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,51.47705078
1599,41.88864899
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,3.167865992
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,37.31819916
1670,39.2279892
1671,83.36720276
1672,372.3539124
1673,370.7796021
1674,193.8451996
1675,164.5513
1676,411.6083069
1677,781.2047729
1678,663.6558228
1679,397.9407959
1680,225.5791931
1681,255.9037018
1682,217.4463043
1683,207.2315063
1684,183.1826019
1685,250.0052948
1686,299.9541016
1687,282.9833069
1688,258.7084961
1689,310.6908875
1690,364.0643921
1691,327.4386902
1692,284.5905151
1693,291.3023987
1694,301.5545044
1695,366.1124878
1696,452.8363953
1697,555.0496216
1698,700.6447754
1699,739.3690796
1700,670.2421875
1701,639.0324707
1702,832.4177856
1703,752.1906128
1704,552.4729004
1705,678.5598755
1706,777.2919922
1707,875.7213135
1708,659.1486206
1709,639.2755737
1710,685.5474243
1711,574.6569214
1712,855.3972168
1713,969.8280029
1714,923.2561035
1715,930.7728882
1716,1014.497009
1717,785.163208
1718,951.3074951
1719,953.6461182
1720,1070.036011
1721,1072.849976
1722,1154.293945
1723,1527.715942
1724,1060.425049
1725,1679.468994
1726,1425.993042
1727,1928.474976
1728,2247.176025
1729,2120.371094
1730,1928.779053
1731,2149.746094
1732,1987.137939
1733,2182.110107
1734,2750.666016
1735,2709.11499
1736,2611.797119
1737,2800.270996
1738,2522.948975
1739,2831.955078
1740,2410.61499
1741,2732.243896
1742,2527.843018
1743,2882.062988
1744,2825.146973
